EXP;PROJECT;CONFIG;FIT_MEAN;FIT_STD;SCORE_MEAN;SCORE_STD;MAE;RMSE;MAPE;R2
1;apache_kafka_measures;1C1;169.0519118309021;80.31350567635475;0.16633849143981932;0.01252034977923813;3534.50322265625;3876.537808524491;7.249217822646967;-9.854812074958085
1;apache_kafka_measures;5C1;166.77452173233033;72.00068962926252;0.16680665016174318;0.01267842669239488;2418.9559103260867;2811.7015548673503;5.094770959948091;-4.463685570018867
1;apache_kafka_measures;10C1;174.7653341293335;77.323368354931;0.17328886985778807;0.00609498683036511;2447.966202445652;2876.6890737721105;5.280294505103794;-4.0985834683186155
1;apache_kafka_measures;20C1;156.97470617294312;71.38049017512141;0.18535728454589845;0.036976550910233115;3179.501413690476;3617.948099201877;5.9690676864454115;-6.713574682354162
1;apache_kafka_measures;40C1;135.1327627658844;50.78500797937503;0.17624363899230958;0.01833231041529436;4270.770616319445;4743.715917959441;7.896465899261775;-36.22233577307941
2;apache_kafka_measures;1C1;178.47307167053222;77.65727258671153;0.16105313301086427;0.018373521092521237;2779.9691406250004;3049.4070663574307;5.943161202676911;-3.9481243826817662
2;apache_kafka_measures;5C1;169.0290017604828;70.07736982469595;0.15702133178710936;0.010205525133112639;3455.3259850543473;3874.9256132325127;7.275667181902621;-10.672228538940061
2;apache_kafka_measures;10C1;168.9289008140564;73.3247718831537;0.17121429443359376;0.023065551673760558;3179.6903023097825;3518.680619509265;6.246584362054697;-12.311655296425126
2;apache_kafka_measures;20C1;161.29246349334716;70.40242788325108;0.17852358818054198;0.02470350182546314;3382.1056547619046;3963.9249571629707;6.196977761966686;-9.938253498802897
2;apache_kafka_measures;40C1;133.89061031341552;52.5591531214705;0.15846023559570313;0.014268904051606685;3698.2509114583336;4083.380735448387;6.9061761532422565;-17.370263271281697
3;apache_kafka_measures;1C1;183.0107949256897;82.60346286587877;0.1655971050262451;0.010476226116486584;3067.4467610677084;3563.349694999944;6.951638619391761;-7.899936526281403
3;apache_kafka_measures;5C1;167.80648107528685;68.59072566741244;0.15141806602478028;0.002046507882149097;2762.2151154891303;3421.336541102735;5.859494150183209;-4.920359612806946
3;apache_kafka_measures;10C1;171.10758519172668;72.08953759087595;0.15588908195495604;0.005429248806011804;3512.233186141304;3826.841714280451;6.76199883128366;-12.521584600111034
3;apache_kafka_measures;20C1;146.88756976127624;65.8234709679757;0.1531385898590088;0.014048664707957114;3127.250632440476;3609.3804977854707;5.945845470259927;-2.6678474281328954
3;apache_kafka_measures;40C1;128.0620843887329;47.49617279984782;0.16127338409423828;0.01239410154084272;3851.990234375;4346.2286778844145;7.106060272266579;-21.199315565275413
4;apache_kafka_measures;1C1;172.7467264175415;77.62613617199005;0.1540891170501709;0.009014582630913894;2985.819417317708;3567.1281642148824;6.713371644429188;-6.547779100534048
4;apache_kafka_measures;5C1;163.8656835079193;67.48791360700417;0.17041268348693847;0.03884124818133408;3152.7163892663043;3680.850590702915;6.7041354789004135;-9.628347241410575
4;apache_kafka_measures;10C1;160.73731470108032;71.6845092324548;0.15424771308898927;0.010879804533329004;3953.6483186141304;4343.248417159729;7.8595352513813195;-7.148686004316881
4;apache_kafka_measures;20C1;157.61672906875611;70.0190597974763;0.17140684127807618;0.02757913869494918;2891.8944196428574;3419.9599713256075;5.693523974906225;-2.461325131018942
