EXP;PROJECT;CONFIG;FIT_MEAN;FIT_STD;SCORE_MEAN;SCORE_STD;MAE;RMSE;MAPE;R2
1;apache_kafka_measures;1C1;77.08434119224549;32.434425667226044;0.105018949508667;0.010604500315987688;3553.528662109375;3844.8328997132694;8.722738078634311;-8.068109505873826
1;apache_kafka_measures;5C1;75.11639466285706;32.107921095314566;0.09725484848022461;0.003990878856286298;4268.686565896738;4565.379939451229;9.201354991343031;-9.348638601977958
1;apache_kafka_measures;10C1;69.69905619621277;32.80029582247807;0.10239591598510742;0.013041470952680642;5247.916338315217;5666.455112355605;10.144867477748054;-16.392139569320857
1;apache_kafka_measures;20C1;67.91084628105163;32.08774920431795;0.11622204780578613;0.022033594439929166;2941.3042782738094;3410.552163608748;5.723752399737803;-5.763229857048385
1;apache_kafka_measures;40C1;54.89712028503418;25.346429167855508;0.11368780136108399;0.020181809981796757;7718.364236111111;8126.212468572528;14.228112914409271;-230.46253443063839
2;apache_kafka_measures;1C1;78.43919110298157;35.36764059348067;0.10283679962158203;0.006444592782060564;5950.543977864583;6280.039110765165;12.49579735461453;-14.563385431639812
2;apache_kafka_measures;5C1;75.82128472328186;32.549572603602606;0.10170159339904786;0.0028303301810341506;3381.520295516304;3792.6299251793143;7.178462666597274;-14.406820305349438
2;apache_kafka_measures;10C1;69.48488593101501;32.862838683833466;0.11415286064147949;0.028713696886482547;2686.131300951087;3090.481667284327;5.698392028661493;-9.003777568268614
2;apache_kafka_measures;20C1;66.84165606498718;30.752423335216054;0.1150425910949707;0.032128740704225875;4999.0319382440475;5529.765946736113;9.339408596272067;-24.842582501803136
2;apache_kafka_measures;40C1;55.268669080734256;24.679772194181858;0.11946101188659668;0.0326418378050949;6202.464626736111;6819.298851565252;10.732158503234283;-169.74981277245746
3;apache_kafka_measures;1C1;76.3475531578064;34.17239953259322;0.11363658905029297;0.02759162813838662;5243.929850260416;5539.9220239307515;12.278308633067446;-13.482846595702764
3;apache_kafka_measures;5C1;77.15726947784424;33.90572644324497;0.1358999252319336;0.023524623278059584;4165.73695652174;4490.802100658907;8.343416809235748;-14.542842756521896
3;apache_kafka_measures;10C1;74.76085424423218;35.77051376246854;0.12291989326477051;0.030852746581937804;3713.727156929348;4041.292219976761;7.507937336560961;-5.504119024705416
3;apache_kafka_measures;20C1;67.87768168449402;30.291824934762744;0.10630784034729004;0.01787523844620407;3983.008928571429;4413.276755215816;7.48381024560887;-12.040880716658593
3;apache_kafka_measures;40C1;54.811870670318605;25.2996691828654;0.09771962165832519;0.004531451653485351;6801.050086805556;7353.710613326255;12.493950938608478;-113.92672804421734
4;apache_kafka_measures;1C1;78.19348678588867;33.88545521237441;0.11105947494506836;0.014968375634224368;3099.853824869792;3482.164454589928;6.474005569160644;-3.9592760614692266
4;apache_kafka_measures;5C1;75.36871371269226;32.37240392265965;0.11374912261962891;0.02196767720460322;3431.840777853261;3763.5554508543887;7.664455779240447;-4.3367969667787225
4;apache_kafka_measures;10C1;74.28810095787048;35.179286740779204;0.11244463920593262;0.022926981086832356;5045.602360733696;5444.328301468636;10.937779226793408;-14.918476789736554
4;apache_kafka_measures;20C1;68.74143319129944;31.139967416741978;0.10293669700622558;0.01080274070069464;5103.6050037202385;5471.849520086547;9.419133757959818;-19.503971097636594
4;apache_kafka_measures;40C1;54.39495153427124;25.118522047644806;0.11385025978088378;0.021686737717254205;6531.927864583333;7141.175716408677;11.399959610503178;-153.6597557051761
5;apache_kafka_measures;1C1;77.36156945228576;34.6000031036261;0.11053094863891602;0.029473802796380098;3538.5657389322914;3811.6682983947635;7.305456560233755;-10.373025767703702
5;apache_kafka_measures;5C1;79.84832124710083;33.062089632921804;0.107196044921875;0.01159343124740038;5406.730281929347;5948.324668946077;11.569369645792147;-18.733981892395285
5;apache_kafka_measures;10C1;74.32731080055237;36.51462580901399;0.11250405311584473;0.022922955325143404;11365.144588569974;11665.251404268536;26.36099769226961;-84.84395319233838
5;apache_kafka_measures;20C1;67.46318645477295;31.08777611308141;0.10162167549133301;0.0059189235603467685;3578.3316220238094;4066.8282508866105;6.543851571492584;-17.88353592700675
5;apache_kafka_measures;40C1;55.92678065299988;25.25530124708601;0.11553168296813965;0.03382943966035143;6222.321223958333;6826.440040635525;11.486018682114581;-74.61020249562031
1;apache_kafka_measures;1C2;76.33632144927978;33.32228021582977;0.0986795425415039;0.003109277494342192;4790.05087890625;4999.433258075381;9.869985083179618;-56.889324992253464
1;apache_kafka_measures;5C2;76.20708003044129;34.35410807127335;0.09578437805175781;0.00381150089520542;3174.781810461957;3757.0416319376263;7.137222452128211;-8.33163458763745
1;apache_kafka_measures;10C2;70.20406703948974;31.7652609249654;0.11284756660461426;0.021226246424651474;4084.237466032608;4572.931179536757;7.680959923567961;-14.083114047443795
1;apache_kafka_measures;20C2;68.71001958847046;31.928808540156286;0.11687078475952148;0.029831699266591655;13595.369065747942;13901.277991719438;26.174225725713303;-68.58885516052172
1;apache_kafka_measures;40C2;56.29714040756225;25.51989014521502;0.10353431701660157;0.0072825461624875945;4758.177560763889;5553.640138708883;8.518762603505078;-75.26738800965693
2;apache_kafka_measures;1C2;76.44339075088502;33.66000707794561;0.1023036003112793;0.007682813743363608;4339.031412760417;4785.355032558786;9.157223137870137;-31.727017048734844
2;apache_kafka_measures;5C2;76.04756603240966;31.83905472679421;0.10031790733337402;0.005936538610285267;2807.7351052989134;3096.5315232546222;6.212412794256627;-4.052922904344638
