Dataset;Algoritm;Approach;window;model;resample;F1-Score(weighted);Accuracy;Sensitivity;Specificity;ROC
pdfbox;LogistRegression;Trad;0;model1;ADA;0.7329701025;0.6748796375;0.6513647643;0.6779092072;0.6646369857
pdfbox;LogistRegression;Trad;0;model1;NONE;0.7495962472;0.6968988955;0.6222084367;0.7065217391;0.6643650879
pdfbox;LogistRegression;Trad;0;model2;NONE;0.7473349209;0.6939252336;0.6228287841;0.7030850384;0.6629569112
pdfbox;MLP;Trad;0;model1;SMOTE;0.8251277767;0.8054375531;0.4745657568;0.8480658568;0.6613158068
pdfbox;RandomForest;Trad;0;model1;ROS;0.8767951343;0.8850184084;0.3579404467;0.9529251918;0.6554328192
pdfbox;DT;Trad;0;model1;ADA;0.8000996537;0.7691163976;0.5018610422;0.8035485934;0.6527048178
pdfbox;RandomForest;Trad;0;model2;ROS;0.8756007787;0.8840271878;0.3517369727;0.9526054987;0.6521712357
pdfbox;RandomForest;Trad;0;model2;NONE;0.8714196786;0.8928065704;0.226426799;0.9786604859;0.6025436425
pdfbox;RandomForest;Trad;0;model1;NONE;0.8690077012;0.8913197395;0.2140198511;0.9785805627;0.5963002069
pdfbox;MLP;Trad;0;model1;NONE;0.8566249471;0.8839563863;0.1526054591;0.9781809463;0.5653932027
pdfbox;MLP;Trad;0;model2;NONE;0.8566701506;0.8849476069;0.1476426799;0.9799392583;0.5637909691
junit4;MLP;Trad;0;model1;ROS;0.9053722759;0.879015436;0.6428571429;0.8905908096;0.7667239762
junit4;MLP;Trad;0;model2;ROS;0.9063867582;0.8815185649;0.5982142857;0.895404814;0.7468095499
junit4;MLP;Trad;0;model1;SMOTE;0.9027898672;0.8760951189;0.5892857143;0.8901531729;0.7397194436
junit4;LogistRegression;Trad;0;model2;NONE;0.8269939608;0.7580308719;0.7142857143;0.7601750547;0.7372303845
junit4;LogistRegression;Trad;0;model1;NONE;0.8261462139;0.7567793075;0.7142857143;0.7588621444;0.7365739294
junit4;LogistRegression;Trad;0;model1;ADA;0.8283717309;0.7601168127;0.7053571429;0.7628008753;0.7340790091
junit4;LogistRegression;Trad;0;model2;SMOTE;0.8227464807;0.7517730496;0.7142857143;0.7536105033;0.7339481088
junit4;LogistRegression;Trad;0;model1;SMOTE;0.8308673071;0.763871506;0.6964285714;0.7671772429;0.7318029072
junit4;LogistRegression;Trad;0;model2;ADA;0.8266473687;0.7576136838;0.6964285714;0.7606126915;0.7285206314
junit4;LogistRegression;Trad;0;model2;ROS;0.8141836848;0.7392574051;0.7142857143;0.7404814004;0.7273835574
junit4;LogistRegression;Trad;0;model1;ROS;0.8150225087;0.7405089695;0.7053571429;0.7422319475;0.7237945452
junit4;DT;Trad;0;model1;ADA;0.9168316181;0.8994576554;0.5267857143;0.9177242888;0.7222550016
junit4;MLP;Trad;0;model2;ADA;0.9168316181;0.8994576554;0.5267857143;0.9177242888;0.7222550016
junit4;MLP;Trad;0;model1;ADA;0.9053517791;0.8811013767;0.5446428571;0.8975929978;0.7211179275
junit4;DT;Trad;0;model2;SMOTE;0.9224725996;0.9086357947;0.5089285714;0.9282275711;0.7185780713
junit4;MLP;Trad;0;model2;SMOTE;0.9187889138;0.9032123488;0.5;0.92297593;0.711487965
junit4;DT;Trad;0;model1;SMOTE;0.9246921014;0.9128076763;0.4821428571;0.933916849;0.7080298531
junit4;DT;Trad;0;model1;ROS;0.9450116197;0.9440967877;0.4375;0.9689277899;0.703213895
junit4;DT;Trad;0;model2;ADA;0.9152474355;0.8982060909;0.4821428571;0.9185995624;0.7003712098
junit4;DT;Trad;0;model2;ROS;0.9438926804;0.9428452232;0.4285714286;0.9680525164;0.6983119725
junit4;RandomForest;Trad;0;model1;SMOTE;0.9449953397;0.9453483521;0.4017857143;0.9719912473;0.6868884808
junit4;RandomForest;Trad;0;model2;ADA;0.9454105481;0.9465999166;0.3839285714;0.9741794311;0.6790540013
junit4;RandomForest;Trad;0;model1;ADA;0.9439108939;0.9445139758;0.3839285714;0.9719912473;0.6779599093
junit4;DT;Trad;0;model2;NONE;0.9455042326;0.9474342929;0.3660714286;0.9759299781;0.6710007033
junit4;DT;Trad;0;model1;NONE;0.9452408478;0.9474342929;0.3571428571;0.9763676149;0.666755236
junit4;RandomForest;Trad;0;model2;SMOTE;0.9431478552;0.9445139758;0.3571428571;0.9733041575;0.6652235073
junit4;RandomForest;Trad;0;model2;ROS;0.9545120584;0.9612015019;0.3214285714;0.9925601751;0.6569943732
junit4;RandomForest;Trad;0;model1;ROS;0.9502255103;0.9582811848;0.2678571429;0.9921225383;0.6299898406
junit4;MLP;Trad;0;model2;NONE;0.9439651669;0.9507717981;0.25;0.9851203501;0.6175601751
junit4;MLP;Trad;0;model1;NONE;0.944048812;0.9524405507;0.2232142857;0.9881838074;0.6056990466
junit4;RandomForest;Trad;0;model1;NONE;0.9416248586;0.9578639967;0.1071428571;0.9995623632;0.5533526102
junit4;RandomForest;Trad;0;model2;NONE;0.9387775351;0.9553608678;0.08928571429;0.9978118162;0.5435487652
commons-io;RandomForest;Trad;0;model1;ROS;0.9633929851;0.9624770908;0.8808432631;0.9720784821;0.9264608726
