Dataset;Algoritm;Approach;window;model;resample;F1-Score(weighted);Accuracy;Sensitivity;Specificity;ROC
junit4;LogistRegression;Our;3;model1;SMOTE;0.9037565637;0.8772011121;0.7678571429;0.8831867058;0.8255219243
junit4;LogistRegression;Our;3;model1;NONE;0.8967976085;0.8665430955;0.7767857143;0.8714565005;0.8241211074
junit4;LogistRegression;Our;3;model1;ADA;0.9016033896;0.8739573679;0.7678571429;0.8797653959;0.8238112694
junit4;LogistRegression;Our;3;model2;SMOTE;0.9033376805;0.8767377201;0.7589285714;0.8831867058;0.8210576386
junit4;LogistRegression;Our;3;model2;ROS;0.9019968433;0.874884152;0.75;0.8817204301;0.8158602151
junit4;DT;Our;3;model2;ROS;0.963314421;0.9633920297;0.6428571429;0.9809384164;0.8118977796
junit4;LogistRegression;Our;3;model2;NONE;0.8955646031;0.8651529194;0.75;0.8714565005;0.8107282502
junit4;RandomForest;Our;3;model1;ROS;0.9729886494;0.9749768304;0.6160714286;0.9946236559;0.8053475422
junit4;RandomForest;Our;3;model2;ROS;0.9724136659;0.9745134384;0.6071428571;0.9946236559;0.8008832565
junit4;MLP;Our;3;model2;SMOTE;0.9578927026;0.9573679333;0.6160714286;0.9760508309;0.7960611297
junit4;MLP;Our;3;model2;ADA;0.9609509552;0.9615384615;0.5982142857;0.981427175;0.7898207303
junit4;MLP;Our;3;model1;ADA;0.959460662;0.9606116775;0.5625;0.9824046921;0.772452346
junit4;MLP;Our;3;model1;SMOTE;0.9568124629;0.9573679333;0.5625;0.9789833822;0.7707416911
junit4;MLP;Our;3;model2;ROS;0.9567989892;0.9578313253;0.5446428571;0.9804496579;0.7625462575
junit4;MLP;Our;3;model1;ROS;0.9560195445;0.9573679333;0.5267857143;0.9809384164;0.7538620654
junit4;MLP;Our;3;model1;NONE;0.956888425;0.9624652456;0.4017857143;0.9931573803;0.6974715473
junit4;RandomForest;Our;3;model1;NONE;0.9587093045;0.9652455978;0.3839285714;0.9970674487;0.6904980101
junit4;RandomForest;Our;3;model2;NONE;0.9592268623;0.9661723818;375;0.9985337243;0.6867668622
junit4;MLP;Our;3;model2;NONE;0.9557175299;0.9624652456;0.3660714286;0.9951124145;0.6805919215
commons-io;RandomForest;Our;3;model2;ROS;0.966505479;0.9666185864;0.8376313276;0.9822150364;0.909923182
commons-io;RandomForest;Our;3;model1;ROS;0.9665013157;0.9667216155;0.8309455587;0.9831389306;0.9070422447
commons-io;MLP;Our;3;model2;ROS;0.9413538333;0.9379765094;0.8576886342;0.9476844901;0.9026865622
commons-io;RandomForest;Our;3;model2;SMOTE;0.9620052822;0.9620853081;0.8194842407;0.979327867;0.8994060538
commons-io;RandomForest;Our;3;model2;ADA;0.9634700191;0.9637337729;0.8156638013;0.9816376025;0.8986507019
commons-io;RandomForest;Our;3;model1;SMOTE;0.9618290542;0.961982279;0.8147086915;0.9797898141;0.8972492528
commons-io;RandomForest;Our;3;model1;ADA;0.9623528718;0.9626004533;0.811843362;0.9808291951;0.8963362785
commons-io;MLP;Our;3;model2;SMOTE;0.9406814584;0.9378734803;0.8290353391;0.9510336067;0.8900344729
commons-io;DT;Our;3;model1;SMOTE;0.9357075476;0.9321038533;0.8261700096;0.9449128075;0.8855414085
commons-io;MLP;Our;3;model1;ADA;0.9430839737;0.9412734391;0.8042024833;0.9578473265;0.8810249049
commons-io;MLP;Our;3;model1;ROS;0.9472569606;0.9463218628;0.7927411652;0.9648920199;0.8788165925
commons-io;DT;Our;3;model2;SMOTE;0.9376958847;0.9351947249;0.7975167144;0.9518420141;0.8746793643
commons-io;RandomForest;Our;3;model2;NONE;0.9624973321;0.963836802;0.7554918816;0.9890287562;0.8722603189
commons-io;RandomForest;Our;3;model1;NONE;0.9609796865;0.9622913662;0.7526265521;0.9876429149;0.8701347335
commons-io;MLP;Our;3;model1;SMOTE;0.9460354151;0.9460127756;0.7507163324;0.9696269777;0.860171655
commons-io;DT;Our;3;model1;ADA;0.9384136406;0.9373583351;0.7497612225;0.9600415752;0.8549013989
commons-io;DT;Our;3;model2;ADA;0.9420245055;0.9420976715;0.7287488061;0.9678946761;0.8483217411
commons-io;DT;Our;3;model1;ROS;0.946233905;0.9470430661;0.7211079274;0.9743619356;0.8477349315
commons-io;MLP;Our;3;model2;ADA;0.9431888919;0.9437461364;0.7172874881;0.9711283058;0.8442078969
commons-io;DT;Our;3;model2;ROS;0.9444254273;0.9451885432;0.7153772684;0.9729760942;0.8441766813
commons-io;DT;Our;3;model1;NONE;0.9431265961;0.9452915722;0.664756447;0.9792123802;0.8219844136
commons-io;DT;Our;3;model2;NONE;0.9410779097;0.942921904;0.6676217765;0.976209724;0.8219157502
commons-io;MLP;Our;3;model2;NONE;0.9434932387;0.9463218628;0.6456542502;0.9826769835;0.8141656169
commons-io;MLP;Our;3;model1;NONE;0.9426784158;0.9453946013;0.6466093601;0.9815221157;0.8140657379
commons-io;LogistRegression;Our;3;model2;ROS;0.8119147737;0.7743663713;0.7268385864;0.780113177;0.7534758817
commons-io;LogistRegression;Our;3;model1;ROS;0.8065257525;0.7671543375;0.7258834766;0.7721445894;0.749014033
commons-io;LogistRegression;Our;3;model1;ADA;0.8039209999;0.7637543787;0.7220630372;0.7687954729;0.7454292551
commons-io;LogistRegression;Our;3;model2;SMOTE;0.8070193101;0.768081599;0.7153772684;0.774454325;0.7449157967
commons-io;LogistRegression;Our;3;model2;ADA;0.8016407803;0.7607665362;0.7191977077;0.7657928167;0.7424952622
commons-io;LogistRegression;Our;3;model1;NONE;0.8055309446;0.766227076;0.7096466094;0.7730684837;0.7413575465
commons-io;LogistRegression;Our;3;model1;SMOTE;0.8066823997;0.7678755409;0.70582617;0.7753782192;0.7406021946
commons-io;LogistRegression;Our;3;model2;NONE;0.8032495284;0.7631362044;0.7106017192;0.7694883936;0.7400450564
commons-bcel;LogistRegression;Our;3;model1;SMOTE;0.9310263764;0.9051217464;0.9459459459;0.903812825;0.9248793855
commons-bcel;LogistRegression;Our;3;model1;ADA;0.9299705308;0.9034424853;0.9459459459;0.9020797227;0.9240128343
commons-bcel;LogistRegression;Our;3;model2;ROS;0.9262828089;0.8975650714;0.9459459459;0.8960138648;0.9209799054
commons-bcel;LogistRegression;Our;3;model1;ROS;0.9257568276;0.8967254408;0.9459459459;0.8951473137;0.9205466298
commons-bcel;LogistRegression;Our;3;model1;NONE;0.920505225;0.8883291352;0.9459459459;0.8864818024;0.9162138742
commons-bcel;LogistRegression;Our;3;model2;NONE;0.920505225;0.8883291352;0.9459459459;0.8864818024;0.9162138742
commons-bcel;LogistRegression;Our;3;model2;SMOTE;0.9313871088;0.905961377;0.9189189189;0.9055459272;0.9122324231
commons-bcel;LogistRegression;Our;3;model2;ADA;0.9292789876;0.9026028547;0.9189189189;0.9020797227;0.9104993208
commons-bcel;RandomForest;Our;3;model2;ADA;0.992059998;0.9924433249;0.7837837838;0.9991334489;0.8914586163
commons-bcel;RandomForest;Our;3;model1;ADA;0.9912441546;0.9916036944;0.7837837838;0.9982668977;0.8910253408
commons-bcel;DT;Our;3;model2;ROS;0.9836233916;0.9832073887;0.7837837838;0.9896013865;0.8866925851
commons-bcel;MLP;Our;3;model1;ROS;0.9801062027;0.9790092359;0.7837837838;0.9852686308;0.8845262073
commons-bcel;MLP;Our;3;model1;ADA;0.9794215349;0.9781696054;0.7837837838;0.9844020797;0.8840929318
commons-bcel;MLP;Our;3;model1;SMOTE;0.9794215349;0.9781696054;0.7837837838;0.9844020797;0.8840929318
commons-bcel;RandomForest;Our;3;model1;ROS;0.9911093288;0.9916036944;0.7567567568;0.9991334489;0.8779451028
commons-bcel;RandomForest;Our;3;model2;ROS;0.9911093288;0.9916036944;0.7567567568;0.9991334489;0.8779451028
commons-bcel;MLP;Our;3;model2;SMOTE;0.9812786572;0.9806884971;0.7567567568;0.9878682842;0.8723125205
commons-bcel;MLP;Our;3;model2;ADA;0.9805782728;0.9798488665;0.7567567568;0.9870017331;0.8718792449
commons-bcel;MLP;Our;3;model2;ROS;0.9805782728;0.9798488665;0.7567567568;0.9870017331;0.8718792449
commons-bcel;RandomForest;Our;3;model2;SMOTE;0.9901425906;0.9907640638;0.7297297297;0.9991334489;0.8644315893
commons-bcel;DT;Our;3;model1;ADA;0.9832073887;0.9832073887;0.7297297297;0.9913344887;0.8605321092
commons-bcel;DT;Our;3;model2;SMOTE;0.9755933292;0.9739714526;0.7297297297;0.9818024263;0.855766078
commons-bcel;RandomForest;Our;3;model1;SMOTE;0.9883503343;0.9890848027;0.7027027027;0.9982668977;0.8504848002
commons-bcel;DT;Our;3;model2;NONE;0.9875530603;0.9882451721;0.7027027027;0.9974003466;0.8500515247
commons-bcel;MLP;Our;3;model1;NONE;0.9852245444;0.9857262804;0.7027027027;0.9948006932;0.848751698
commons-bcel;MLP;Our;3;model2;NONE;0.9852245444;0.9857262804;0.7027027027;0.9948006932;0.848751698
commons-bcel;DT;Our;3;model2;ADA;0.979404487;0.9790092359;0.7027027027;0.9878682842;0.8452854935
commons-bcel;DT;Our;3;model1;SMOTE;0.9727954712;0.9714525609;0.6486486486;0.9818024263;0.8152255375
commons-bcel;DT;Our;3;model1;NONE;0.9808702541;0.9823677582;0.5675675676;0.9956672444;0.781617406
commons-bcel;DT;Our;3;model1;ROS;0.9772348019;0.9781696054;0.5675675676;0.9913344887;0.7794510282
commons-bcel;RandomForest;Our;3;model2;NONE;0.9836499268;0.9857262804;0.5405405405;1;0.7702702703
commons-bcel;RandomForest;Our;3;model1;NONE;0.9813566327;0.9840470193;0.4864864865;1;0.7432432432
