Dataset;Algoritm;window;model;resample;F1-Score(weighted);Accuracy;Sensitivity;Specificity;ROCAUCscore
commons-bcel;MLP;3;model1;ROS;0.9801062027;0.9790092359;0.7837837838;0.9852686308;0.8845262073
commons-bcel;MLP;3;model1;ADA;0.9794215349;0.9781696054;0.7837837838;0.9844020797;0.8840929318
commons-bcel;MLP;3;model1;SMOTE;0.9794215349;0.9781696054;0.7837837838;0.9844020797;0.8840929318
commons-bcel;RandomForest;3;model1;ROS;0.9911093288;0.9916036944;0.7567567568;0.9991334489;0.8779451028
commons-bcel;DT;3;model1;ADA;0.9832073887;0.9832073887;0.7297297297;0.9913344887;0.8605321092
commons-bcel;RandomForest;3;model1;SMOTE;0.9883503343;0.9890848027;0.7027027027;0.9982668977;0.8504848002
commons-bcel;MLP;3;model1;NONE;0.9852245444;0.9857262804;0.7027027027;0.9948006932;0.848751698
commons-bcel;DT;3;model1;SMOTE;0.9727954712;0.9714525609;0.6486486486;0.9818024263;0.8152255375
commons-bcel;DT;3;model1;NONE;0.9808702541;0.9823677582;0.5675675676;0.9956672444;0.781617406
commons-bcel;DT;3;model1;ROS;0.9772348019;0.9781696054;0.5675675676;0.9913344887;0.7794510282
commons-bcel;RandomForest;3;model1;NONE;0.9813566327;0.9840470193;0.4864864865;1;0.7432432432
commons-bcel;LogistRegression;4;model1;ROS;0.9353483741;0.9136442142;0.9230769231;0.9133154602;0.9181961917
commons-bcel;LogistRegression;4;model1;ADA;0.9384871232;0.9188255613;0.8974358974;0.9195710456;0.9085034715
commons-bcel;MLP;4;model1;SMOTE;0.9796918839;0.9784110535;0.8205128205;0.9839142091;0.9022135148
commons-bcel;DT;4;model1;SMOTE;0.9782812565;0.9766839378;0.8205128205;0.982126899;0.9013198598
commons-bcel;MLP;4;model1;ROS;0.9775840287;0.97582038;0.8205128205;0.981233244;0.9008730322
commons-bcel;LogistRegression;4;model1;SMOTE;0.9366244227;0.9162348877;0.8717948718;0.9177837355;0.8947893036
commons-bcel;LogistRegression;4;model1;NONE;0.9305658762;0.9067357513;0.8717948718;0.9079535299;0.8898742009
commons-bcel;MLP;4;model1;ADA;0.9780672346;0.9766839378;0.7948717949;0.9830205541;0.8889461745
commons-bcel;RandomForest;4;model1;SMOTE;0.984258371;0.9844559585;0.7435897436;0.9928507596;0.8682202516
commons-bcel;RandomForest;4;model1;ADA;0.9834895219;0.9835924007;0.7435897436;0.9919571046;0.8677734241
commons-bcel;MLP;4;model1;NONE;0.9804926509;0.9801381693;0.7435897436;0.9883824844;0.865986114
commons-bcel;RandomForest;4;model1;ROS;0.9848331227;0.9853195164;0.7179487179;0.9946380697;0.8562933938
commons-bcel;DT;4;model1;ROS;0.981514729;0.981865285;0.6923076923;0.9919571046;0.8421323984
commons-bcel;DT;4;model1;NONE;0.9792746114;0.9792746114;0.6923076923;0.9892761394;0.8407919159
commons-bcel;DT;4;model1;ADA;0.9729190628;0.9715025907;0.6923076923;0.981233244;0.8367704681
commons-bcel;RandomForest;4;model1;NONE;0.9876835396;0.9887737478;0.6666666667;1;0.8333333333
commons-bcel;MLP;2;model2;ADA;0.98112762;0.9803761243;0.8260869565;0.9864061172;0.9062465369
commons-bcel;LogistRegression;2;model2;SMOTE;0.9247815948;0.899427637;0.9130434783;0.898895497;0.9059694876
commons-bcel;LogistRegression;2;model2;ADA;0.9226752346;0.896156991;0.9130434783;0.8954970263;0.9042702523
commons-bcel;MLP;2;model2;SMOTE;0.9809517821;0.9803761243;0.8043478261;0.9872557349;0.8958017805
commons-bcel;LogistRegression;2;model2;NONE;0.9141314919;0.8830744072;0.8913043478;0.8827527613;0.8870285545
commons-bcel;LogistRegression;2;model2;ROS;0.9233848934;0.897792314;0.8695652174;0.898895497;0.8842303572
commons-bcel;RandomForest;2;model2;ADA;0.9880270172;0.9885527392;0.7608695652;0.997451147;0.8791603561
commons-bcel;MLP;2;model2;ROS;0.9812908982;0.9811937858;0.7608695652;0.9898045879;0.8753370766
commons-bcel;RandomForest;2;model2;SMOTE;0.9870934688;0.9877350777;0.7391304348;0.997451147;0.8682907909
commons-bcel;DT;2;model2;SMOTE;0.9708877831;0.9689288635;0.7391304348;0.9779099405;0.8585201877
commons-bcel;DT;2;model2;NONE;0.9780371414;0.9779231398;0.7173913043;0.9881053526;0.8527483285
commons-bcel;DT;2;model2;ADA;0.9778065256;0.9779231398;0.6956521739;0.9889549703;0.8423035721
commons-bcel;DT;2;model2;ROS;0.9754701554;0.9754701554;0.6739130435;0.9872557349;0.8305843892
commons-bcel;RandomForest;2;model2;ROS;0.9832288509;0.9844644317;0.652173913;0.997451147;0.82481253
commons-bcel;MLP;2;model2;NONE;0.9817031163;0.9828291087;0.652173913;0.9957519116;0.8239629123
commons-bcel;RandomForest;2;model2;NONE;0.981444373;0.9836467702;0.5652173913;1;0.7826086957
commons-bcel;LogistRegression;3;model2;ROS;0.9262828089;0.8975650714;0.9459459459;0.8960138648;0.9209799054
commons-bcel;LogistRegression;3;model2;NONE;0.920505225;0.8883291352;0.9459459459;0.8864818024;0.9162138742
commons-bcel;LogistRegression;3;model2;SMOTE;0.9313871088;0.905961377;0.9189189189;0.9055459272;0.9122324231
commons-bcel;LogistRegression;3;model2;ADA;0.9292789876;0.9026028547;0.9189189189;0.9020797227;0.9104993208
commons-bcel;RandomForest;3;model2;ADA;0.992059998;0.9924433249;0.7837837838;0.9991334489;0.8914586163
commons-bcel;DT;3;model2;ROS;0.9836233916;0.9832073887;0.7837837838;0.9896013865;0.8866925851
commons-bcel;RandomForest;3;model2;ROS;0.9911093288;0.9916036944;0.7567567568;0.9991334489;0.8779451028
commons-bcel;MLP;3;model2;SMOTE;0.9812786572;0.9806884971;0.7567567568;0.9878682842;0.8723125205
commons-bcel;MLP;3;model2;ADA;0.9805782728;0.9798488665;0.7567567568;0.9870017331;0.8718792449
commons-bcel;MLP;3;model2;ROS;0.9805782728;0.9798488665;0.7567567568;0.9870017331;0.8718792449
commons-bcel;RandomForest;3;model2;SMOTE;0.9901425906;0.9907640638;0.7297297297;0.9991334489;0.8644315893
commons-bcel;DT;3;model2;SMOTE;0.9755933292;0.9739714526;0.7297297297;0.9818024263;0.855766078
commons-bcel;DT;3;model2;NONE;0.9875530603;0.9882451721;0.7027027027;0.9974003466;0.8500515247
commons-bcel;MLP;3;model2;NONE;0.9852245444;0.9857262804;0.7027027027;0.9948006932;0.848751698
commons-bcel;DT;3;model2;ADA;0.979404487;0.9790092359;0.7027027027;0.9878682842;0.8452854935
commons-bcel;RandomForest;3;model2;NONE;0.9836499268;0.9857262804;0.5405405405;1;0.7702702703
commons-bcel;LogistRegression;4;model2;ROS;0.9359023306;0.914507772;0.9230769231;0.9142091153;0.9186430192
commons-bcel;DT;4;model2;SMOTE;0.9813165332;0.9801381693;0.8461538462;0.9848078642;0.9154808552
commons-bcel;LogistRegression;4;model2;ADA;0.9379311357;0.9179620035;0.8974358974;0.9186773905;0.908056644
commons-bcel;LogistRegression;4;model2;SMOTE;0.9379311357;0.9179620035;0.8974358974;0.9186773905;0.908056644
commons-bcel;MLP;4;model2;ADA;0.9782812565;0.9766839378;0.8205128205;0.982126899;0.9013198598
commons-bcel;LogistRegression;4;model2;NONE;0.9300177983;0.9058721934;0.8717948718;0.9070598749;0.8894273733
commons-bcel;MLP;4;model2;ROS;0.9780672346;0.9766839378;0.7948717949;0.9830205541;0.8889461745
commons-bcel;MLP;4;model2;SMOTE;0.9780672346;0.9766839378;0.7948717949;0.9830205541;0.8889461745
commons-bcel;RandomForest;4;model2;SMOTE;0.9860074409;0.9861830743;0.7692307692;0.9937444147;0.8814875919
commons-bcel;DT;4;model2;ROS;0.9836925789;0.9835924007;0.7692307692;0.9910634495;0.8801471094
commons-bcel;RandomForest;4;model2;ROS;0.9874226107;0.98791019;0.7435897436;0.9964253798;0.8700075617
commons-bcel;MLP;4;model2;NONE;0.9797615542;0.9792746114;0.7435897436;0.9874888293;0.8655392865
commons-bcel;RandomForest;4;model2;ADA;0.9840497155;0.9844559585;0.7179487179;0.9937444147;0.8558465663
commons-bcel;RandomForest;4;model2;NONE;0.9868433558;0.98791019;0.6666666667;0.999106345;0.8328865058
commons-bcel;DT;4;model2;NONE;0.979754227;0.9801381693;0.6666666667;0.9910634495;0.8288650581
commons-bcel;DT;4;model2;ADA;0.9775474957;0.9775474957;0.6666666667;0.9883824844;0.8275245755
commons-io;RandomForest;2;model1;ROS;0.9670929724;0.9668125827;0.8669165886;0.9789858383;0.9229512134
commons-io;RandomForest;2;model1;ADA;0.9655992929;0.9652855543;0.8612933458;0.9779579717;0.9196256588
commons-io;RandomForest;2;model1;SMOTE;0.9654779036;0.9651837524;0.8594189316;0.9780721791;0.9187455553
commons-io;DT;2;model1;ADA;0.9507727707;0.9488954495;0.8575445173;0.9600274098;0.9087859636
commons-io;RandomForest;2;model1;NONE;0.9634215597;0.9640639316;0.7956888472;0.9845820009;0.8901354241
commons-io;MLP;2;model1;ROS;0.9325365113;0.9280260613;0.8406747891;0.9386706259;0.8896727075
commons-io;MLP;2;model1;SMOTE;0.9361509955;0.9332179579;0.8059981256;0.9487208771;0.8773595013
